,Token,Index
347,SSOIS,347
348,SSOOI,348
349,SSOOO,349
350,SSOOS,350
351,SSOSI,351
352,SSOSO,352
353,SSOSS,353
354,SSSII,354
355,SSSIO,355
356,SSSIS,356
357,SSSOI,357
358,SSSOO,358
359,SSSOS,359
360,SSSSI,360
361,SSSSO,361
362,SSSSS,362
